DeltariSeglingCtr,DeltariRegistrerandeKrets,DeltariFNDeltagare,DeltariFNSegling,DeltariSkipperGastqq,DeltariFNSkipperGast
2866,"Stockholm",849,1946,,2
2867,"Stockholm",1080,1947,,2
2868,"Stockholm",1010,1948,,2
2869,"Stockholm",260,1949,,2
2870,"Stockholm",967,1950,,2
2871,"Stockholm",185,1951,,2
2872,"Stockholm",1084,1952,,2
2873,"Stockholm",549,1953,,2
2874,"Stockholm",656,1954,,2
2875,"Stockholm",2,1955,,2
2876,"Stockholm",1004,1956,,2
2877,"Stockholm",886,1957,,2
2878,"Stockholm",1012,1958,,2
2879,"Stockholm",634,1959,,2
2880,"Stockholm",45,1960,,2
2881,"Stockholm",562,1961,,2
2882,"Stockholm",76,1962,,2
2883,"Stockholm",274,1963,,2
2884,"Stockholm",160,1964,,2
2885,"Stockholm",591,1965,,2
2886,"Stockholm",1086,1945,,1
2887,"Stockholm",21,1946,,1
2888,"Stockholm",1087,1946,,1
2889,"Stockholm",1032,1948,,1
2890,"Stockholm",1033,1948,,1
2891,"Stockholm",1034,1948,,1
2892,"Stockholm",1035,1948,,1
2893,"Stockholm",927,1949,,1
2894,"Stockholm",928,1949,,1
2895,"Stockholm",878,1949,,1
2896,"Stockholm",929,1949,,1
2897,"Stockholm",1021,1951,,1
2898,"Stockholm",1089,1947,,1
2899,"Stockholm",1095,1947,,1
2900,"Stockholm",1088,1956,,1
2901,"Stockholm",762,1920,,1
2902,"Stockholm",934,1950,,1
2903,"Stockholm",969,1950,,1
2904,"Stockholm",970,1950,,1
2905,"Stockholm",517,1953,,1
2906,"Stockholm",561,1953,,1
2907,"Stockholm",1090,1938,,1
2908,"Stockholm",1092,1938,,1
2909,"Stockholm",6,1942,,1
2910,"Stockholm",110,1962,,1
2911,"Stockholm",1085,1961,,1
2912,"Stockholm",864,1961,,1
2913,"Stockholm",865,1961,,1
2914,"Stockholm",1091,1961,,1
2915,"Stockholm",721,1961,,1
2916,"Stockholm",944,1919,,1
2917,"Stockholm",1094,1959,,1
2918,"Stockholm",1093,1952,,1
2920,"Stockholm",1097,1967,,2
2921,"Stockholm",594,1968,,2
2922,"Stockholm",211,1969,,2
2923,"Stockholm",998,1970,,2
2925,"Stockholm",613,1972,,2
2926,"Stockholm",1096,1973,,2
2927,"Stockholm",72,1974,,2
2928,"Stockholm",674,1951,,1
2929,"Stockholm",1099,1921,,1
2930,"Stockholm",55,1965,,1
2931,"Stockholm",116,1965,,1
2932,"Stockholm",900,1965,,1
2933,"Stockholm",1100,1960,,1
2934,"Stockholm",1028,1956,,1
2935,"Stockholm",694,1954,,1
2936,"Stockholm",1103,1968,,1
2937,"Stockholm",1055,1974,,1
2938,"Stockholm",1018,1940,,1
2939,"Stockholm",899,1940,,1
2940,"Stockholm",1098,1940,,1
2941,"Stockholm",1101,1952,,1
2942,"Stockholm",1102,1952,,1
2943,"Stockholm",1104,1967,,1
2944,"Stockholm",566,1975,,2
2945,"Stockholm",1105,1970,,1
2946,"Stockholm",981,1934,,1
2947,"Stockholm",1041,1970,,1
2948,"Stockholm",1106,1924,,1
2950,"Stockholm",53,1976,,2
2951,"Stockholm",986,1976,,1
2952,"Stockholm",1109,1916,,1
2953,"Stockholm",823,1976,,1
2954,"Stockholm",1108,1976,,1
2955,"Stockholm",1107,1959,,1
2956,"Stockholm",1010,1977,,2
2957,"Stockholm",1071,1978,,2
2958,"Stockholm",2,1979,,2
2960,"Stockholm",1110,1978,,1
2961,"Stockholm",1111,1978,,1
2963,"Stockholm",1000,1981,,2
2964,"Stockholm",1015,,,1
2965,"Stockholm",1015,,,1
2966,"Stockholm",1015,,,1
2967,"Stockholm",1015,,,1
2968,"Stockholm",1015,,,1
2969,"Stockholm",1015,1981,,1
2971,"Stockholm",1112,1983,,2
2972,"Stockholm",45,1984,,2
2973,"Stockholm",166,1985,,2
2974,"Stockholm",69,1986,,2
2975,"Stockholm",56,1987,,2
2976,"Stockholm",37,1988,,2
2977,"Stockholm",1113,1989,,2
2978,"Stockholm",472,1990,,2
2979,"Stockholm",974,1991,,2
2980,"Stockholm",475,1992,,2
2981,"Stockholm",889,1993,,2
2982,"Stockholm",1116,1994,,2
2983,"Stockholm",1118,1995,,2
2984,"Stockholm",919,1996,,2
2985,"Stockholm",54,1997,,2
2986,"Stockholm",1115,1998,,2
2987,"Stockholm",249,1999,,2
2988,"Stockholm",1012,2000,,2
2989,"Stockholm",57,2001,,2
2990,"Stockholm",998,2002,,2
2991,"Stockholm",1004,2003,,2
2992,"Stockholm",53,2004,,2
2993,"Stockholm",274,2005,,2
2995,"Stockholm",164,2007,,2
2996,"Stockholm",1050,2008,,2
2997,"Stockholm",742,2009,,2
2998,"Stockholm",1071,2010,,2
2999,"Stockholm",4,2011,,2
