BoatNr,BoatTyp,BoatSxkTal
365,"Sun Odyssey 42i Performance",1.2500000000000000e+00
366,"Maxi 130",1.2000000000000000e+00
367,"Kustkryssare L25",1.1000000000000001e+00
368,"Rhapsody 40",1.1610000000000000e+00
369,"Hanse 345",1.1899999999999999e+00
370,"Elan 210",1.0960000000000001e+00
371,,0.0000000000000000e+00
372,"Dufour 34 LR",1.2300000000000000e+00
373,"Rhapsody 40 CVS",1.2500000000000000e+00
374,"Ansö 42",1.2200000000000000e+00
375,"Scanner 361",1.2500000000000000e+00
376,"Sun Odessey 42.1",1.2200000000000000e+00
377,"Beneteau Oceanis 311",1.1450000000000000e+00
378,"Kustkryssare ESM",1.0500000000000000e+00
379,"Lagoon 380",1.3000000000000000e+00
380,"Dufour 410 GL",1.2000000000000000e+00
381,"Mani 32",1.2200000000000000e+00
382,"Dehler 33 Cr.",1.2529999999999999e+00
383,"Stress 107 Cr",1.1799999999999999e+00
