BoatIndNr,BoatIndFNBoattyp,BoatIndNamn,BoatIndParmNr,BoatIndVHF,BoatIndMobil
880,360,"Hugo","0",,
454,217,"Ariadne","214",,
122,76,"Billabong","0",,
535,5,"Maja","24",,
453,203,"Adrienne","59",,
561,245,"Mariren","0",,
589,31,"Tarantella","4470",,
580,389,"Hafsorkestern","670",,
492,184,"Embla","178
178",,
628,12,"Broachen","885",,
665,290,"Sybarit","50",,
671,12,"Tabasco","5403",,
641,26,"Marianne","709",,
688,107,"Twist of Lime","19",,
467,209,"Guding","12",,
734,48,"Sara Hedelia III","1412",,
445,156,"Okänt G2","0",,
253,140,"Okänt","0",,
245,136,"Okänt","0",,
243,134,"Okänt","0",,
231,129,"Okänt","0",,
741,323,"Forte","0",,
737,321,"J24an","54",,
744,324,"Katarina","1156",,
106,26,"B'gosh","2350",,
757,84,"Bylgia","193",,
765,199,"Wight Colt","8866",,
774,336,"Kavat","37",,
603,12,"Petronella","6401",,
786,337,"Mazarin","122",,
787,338,"Zingara","16083",,
755,329,"Fia","2875",,
754,42,"Caysa","9",,
801,342,"By and By","3970",,
830,363,"Lenica","2590",,
847,376,"Baravara","10565",,
856,372,"Annemon","0",,
863,381,"Maniana","227",,
877,388,"Dagmar","2",,
812,356,"Modesty","11094",,
851,56,"Yania","264",,
852,377,"Brita","883",,
853,208,"Aquileja","27",,
