SeglingFNStart,SeglingStartDag,SeglingStartTid,SeglingPeriod,StartDagCtr,StartVeckodag,StartDag,StartAr,StartVH,StartFNTid,UrvalStartTid,TmpRegatta,TmpOrganizer,TmpRace,TmpRegattaName
99,06/06/09 00:00:00,12:00-12:30,24,99,Lör,06/06/09 00:00:00,2009,V,2,12:00-12:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
100,06/05/09 00:00:00,12:00-20:00,48,100,Fre,06/05/09 00:00:00,2009,V,1,12:00-20:00,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
98,06/06/09 00:00:00,07:00-07:30,24,98,Lör,06/06/09 00:00:00,2009,V,3,07:00-07:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
100,06/05/09 00:00:00,12:00-20:00,48,100,Fre,06/05/09 00:00:00,2009,V,1,12:00-20:00,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
99,06/06/09 00:00:00,12:00-12:30,24,99,Lör,06/06/09 00:00:00,2009,V,2,12:00-12:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
98,06/06/09 00:00:00,07:00-07:30,12,98,Lör,06/06/09 00:00:00,2009,V,3,07:00-07:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
100,06/05/09 00:00:00,12:00-20:00,48,100,Fre,06/05/09 00:00:00,2009,V,1,12:00-20:00,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
66,05/31/08 00:00:00,12:00-12:30,24,66,Lör,05/31/08 00:00:00,2008,V,2,12:00-12:30,Sthlm-2008V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2008 i Stockholm
98,06/06/09 00:00:00,07:00-07:30,12,98,Lör,06/06/09 00:00:00,2009,V,3,07:00-07:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
99,06/06/09 00:00:00,12:00-12:30,24,99,Lör,06/06/09 00:00:00,2009,V,2,12:00-12:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
98,06/06/09 00:00:00,07:00-07:30,12,98,Lör,06/06/09 00:00:00,2009,V,3,07:00-07:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
